task_type,complexity,user_skill,workload,assigned_user
Testing,8,Mid,High,Eve
Documentation,9,Mid,High,Eve
Backend,7,Senior,Medium,Bob
Documentation,1,Mid,High,Charlie
Documentation,1,Senior,Low,Charlie
Frontend,10,Junior,Medium,Diana
Backend,7,Junior,Medium,Bob
Backend,10,Senior,Low,Bob
Backend,5,Senior,Low,Bob
Documentation,3,Senior,Medium,Bob
Testing,1,Mid,High,Eve
Backend,8,Senior,Medium,Charlie
DevOps,1,Mid,Low,Bob
Documentation,8,Senior,Medium,Diana
Frontend,1,Senior,Low,Alice
Testing,1,Senior,Medium,Eve
DevOps,2,Junior,High,Diana
DevOps,2,Mid,Medium,Bob
Frontend,6,Mid,Medium,Charlie
Testing,7,Mid,Low,Eve
Documentation,5,Senior,Low,Eve
Design,1,Junior,Low,Eve
Testing,1,Senior,Medium,Charlie
Frontend,3,Senior,High,Bob
DevOps,2,Mid,Low,Alice
Documentation,5,Senior,Low,Bob
Testing,10,Mid,Medium,Charlie
Design,6,Junior,Low,Diana
Design,7,Mid,High,Diana
Backend,7,Junior,High,Eve
Backend,10,Senior,Low,Bob
Frontend,8,Senior,Low,Eve
Testing,1,Senior,Medium,Charlie
Testing,6,Junior,High,Charlie
DevOps,8,Junior,High,Charlie
DevOps,5,Junior,Low,Charlie
DevOps,4,Mid,Medium,Charlie
Backend,5,Mid,High,Charlie
Testing,6,Junior,High,Eve
Testing,6,Senior,Medium,Eve
Design,1,Mid,Medium,Diana
Backend,10,Mid,High,Diana
Documentation,6,Mid,High,Alice
Backend,6,Junior,Medium,Charlie
Documentation,4,Junior,High,Charlie
Design,4,Junior,Low,Charlie
Frontend,3,Junior,Low,Eve
Testing,10,Junior,Medium,Charlie
Design,3,Senior,Medium,Eve
Testing,3,Senior,Medium,Charlie
DevOps,4,Junior,Low,Charlie
Frontend,7,Mid,High,Charlie
Frontend,4,Junior,Low,Eve
Design,9,Senior,High,Eve
Frontend,1,Senior,Low,Bob
Documentation,8,Mid,High,Diana
Frontend,7,Senior,Low,Bob
Testing,2,Junior,Medium,Eve
Testing,8,Mid,Low,Charlie
Testing,1,Junior,High,Eve
Testing,9,Junior,Low,Charlie
Documentation,9,Mid,Low,Alice
Backend,5,Senior,Low,Diana
DevOps,7,Senior,Medium,Bob
Design,10,Junior,Low,Bob
Testing,3,Mid,Medium,Charlie
Frontend,7,Mid,Medium,Bob
Testing,10,Mid,Low,Charlie
Frontend,9,Junior,Low,Charlie
DevOps,4,Mid,Low,Alice
DevOps,1,Mid,High,Bob
DevOps,2,Junior,Low,Alice
Frontend,1,Senior,Medium,Alice
Testing,5,Junior,Low,Charlie
DevOps,5,Mid,High,Eve
Documentation,7,Mid,Low,Alice
Frontend,9,Junior,High,Bob
Frontend,9,Senior,High,Diana
Testing,3,Mid,Low,Charlie
Frontend,3,Mid,Medium,Alice
Frontend,3,Mid,High,Charlie
DevOps,4,Junior,Low,Eve
Testing,8,Mid,Low,Charlie
DevOps,6,Senior,Medium,Bob
DevOps,8,Mid,High,Diana
Testing,1,Mid,High,Charlie
Design,8,Senior,Low,Eve
DevOps,4,Mid,Low,Bob
Documentation,1,Junior,Medium,Charlie
Documentation,8,Junior,Medium,Charlie
Frontend,4,Junior,High,Charlie
Documentation,6,Senior,High,Charlie
Frontend,8,Mid,Low,Diana
Design,4,Junior,High,Eve
Testing,3,Senior,Medium,Eve
Testing,9,Mid,Medium,Eve
Testing,3,Senior,Low,Eve
Documentation,9,Junior,Medium,Charlie
Design,2,Junior,Medium,Alice
Documentation,2,Junior,Medium,Eve
Documentation,2,Senior,Medium,Diana
Design,6,Senior,Low,Bob
Design,3,Junior,Low,Alice
Design,9,Senior,High,Alice
Design,4,Junior,Medium,Bob
Testing,1,Junior,High,Eve
Backend,7,Senior,Low,Alice
Backend,4,Senior,Low,Alice
Design,5,Junior,Low,Eve
Backend,7,Senior,Low,Diana
Backend,10,Senior,Low,Alice
Design,8,Mid,Low,Diana
Backend,10,Senior,Low,Bob
Documentation,3,Junior,Medium,Charlie
Frontend,1,Senior,High,Alice
Frontend,1,Mid,Low,Eve
Design,3,Senior,Medium,Bob
Testing,6,Senior,Medium,Eve
Design,7,Junior,High,Bob
Testing,6,Mid,Low,Charlie
Frontend,6,Junior,High,Diana
Design,6,Mid,Low,Charlie
DevOps,3,Mid,Medium,Bob
Documentation,6,Mid,Medium,Alice
Backend,10,Senior,Medium,Eve
Testing,2,Mid,Medium,Charlie
DevOps,5,Senior,High,Bob
Backend,4,Senior,Low,Bob
Backend,4,Senior,Low,Charlie
Design,5,Mid,High,Charlie
Backend,6,Senior,Low,Eve
Documentation,4,Mid,Medium,Eve
DevOps,3,Junior,Low,Alice
Backend,4,Senior,Medium,Alice
Design,1,Junior,High,Eve
Documentation,5,Junior,Low,Eve
Frontend,6,Junior,High,Diana
DevOps,3,Junior,Low,Charlie
Backend,10,Senior,Medium,Alice
Design,5,Mid,High,Charlie
Frontend,8,Junior,Low,Charlie
Frontend,1,Junior,Medium,Eve
Testing,5,Senior,High,Eve
Documentation,3,Junior,High,Bob
Backend,4,Senior,Low,Diana
Design,4,Mid,Low,Diana
Testing,5,Junior,Low,Charlie
Documentation,7,Senior,Medium,Diana
Testing,1,Senior,Low,Eve
DevOps,3,Mid,High,Charlie
Documentation,2,Junior,High,Alice
Documentation,9,Junior,Low,Bob
Backend,10,Senior,Low,Charlie
Documentation,6,Junior,High,Bob
Testing,10,Senior,Medium,Eve
Documentation,3,Junior,Low,Eve
Backend,10,Senior,Low,Diana
Backend,10,Senior,High,Eve
DevOps,2,Mid,Low,Bob
Testing,6,Junior,Medium,Charlie
Frontend,7,Junior,High,Charlie
Frontend,2,Mid,Low,Diana
Documentation,10,Junior,High,Alice
DevOps,2,Mid,Low,Diana
Design,10,Junior,Low,Alice
Documentation,1,Senior,Low,Diana
DevOps,8,Senior,Medium,Alice
Testing,1,Junior,Medium,Charlie
Testing,9,Junior,High,Charlie
Testing,6,Junior,Low,Eve
Testing,7,Senior,Low,Charlie
Testing,10,Junior,Medium,Eve
DevOps,7,Senior,Low,Charlie
DevOps,10,Mid,Medium,Charlie
Backend,6,Senior,Low,Alice
Frontend,2,Senior,High,Bob
Testing,9,Mid,Low,Eve
Design,8,Senior,Low,Eve
DevOps,10,Junior,Medium,Bob
Design,7,Junior,Low,Diana
Design,9,Senior,Low,Bob
Design,4,Junior,Medium,Eve
Backend,7,Senior,High,Bob
DevOps,1,Junior,High,Diana
Design,8,Junior,Medium,Alice
Testing,3,Senior,Medium,Eve
Documentation,7,Junior,Medium,Alice
Design,2,Senior,Medium,Alice
Backend,5,Senior,Medium,Alice
DevOps,7,Junior,High,Charlie
Backend,9,Mid,High,Charlie
Design,3,Mid,Medium,Alice
DevOps,9,Senior,Low,Eve
Documentation,10,Mid,Medium,Diana
Design,6,Senior,Low,Diana
Backend,10,Senior,Medium,Bob
Frontend,10,Junior,Medium,Eve
Testing,6,Senior,High,Charlie
Backend,4,Senior,Low,Alice
DevOps,4,Junior,Low,Bob
